ID	City	
INT	STRING	
205	Prounov
206	Koul
207	Prounov
208	Kouvnic
209	Kouvnic
210	Koul
211	Koul
212	Koul
213	Prounov
214	Koul
215	Kouvnic
216	Prounov
217	Kouvnic
218	Kouvnic
219	Koul
220	Otello
221	Prounov
222	Koul
223	Prounov
224	Prounov
225	Koul
226	Koul
227	Koul
228	Kouvnic
229	Otello
230	Koul
231	Koul
232	Koul
233	Prounov
234	Koul
235	Koul
236	Koul
237	Koul
238	Koul
239	Prounov
240	Koul
241	Prounov
242	Koul
243	Koul
244	Koul
245	Koul
246	Prounov
247	Prounov
248	Koul
249	Koul
250	Sresk
251	Kouvnic
252	Solvenz
253	Prounov
254	Koul
255	Koul
256	Koul
257	Koul
258	Kouvnic
259	Sresk
260	Koul
261	Prounov
262	Koul
263	Prounov
264	Kouvnic
265	Koul
266	Sresk
267	Prounov
268	Prounov
269	Koul
270	Transpasko
271	Kouvnic
272	Koul
273	Koul
274	Prounov
275	Prounov
276	Pasko
277	Prounov
278	Kannvic
279	Koul
280	Kouvnic
281	Kannvic
282	Otello
283	Koul
284	Prounov
285	Koul
286	Prounov
287	Koul
288	Prounov
289	Solvenz
290	Koul
291	Sresk
292	Kouvnic
293	Kouvnic
294	Koul
295	Kannvic
296	Kouvnic
297	Prounov
298	Prounov
299	Prounov
300	Koul
301	Koul
302	Kouvnic
303	Koul
304	Kouvnic
305	Koul
306	Koul
307	Prounov
308	Prounov
309	Prounov
310	Prounov
311	Prounov
312	Kouvnic
313	Prounov
314	Koul
315	Koul
316	Sresk
317	Prounov
318	Koul
319	Koul
320	Prounov
321	Solank
322	Prounov
323	Ryzkland
324	Pasko
325	Prounov
326	Koul
327	Prounov
328	Koul
329	Prounov
330	Koul
331	Pasko
332	Solank
333	Koul
334	Prounov
335	Koul
336	Koul
337	Koul
338	Kouvnic
339	Kannvic
340	Ryzkland
341	Koul
342	Ryzkland
343	Prounov
344	Koul
345	Prounov
346	Koul
347	Koul
348	Kannvic
349	Kannvic
350	Prounov
351	Prounov
352	Kouvnic
353	Kouvnic
354	Koul
355	Koul
356	Koul
357	Koul
358	Koul
359	Koul
360	Koul
361	Prounov
362	Prounov
363	Kouvnic
364	Kannvic
365	Kouvnic
366	Otello
367	Solank
368	Prounov
369	Prounov
370	Koul
371	Koul
372	Solvenz
373	Koul
374	Koul
375	Koul
376	Prounov
377	Koul
378	Kouvnic
379	Koul
380	Ryzkland
381	Kannvic
382	Koul
383	Koul
384	Prounov
385	Ryzkland
386	Prounov
387	Pasko
388	Koul
389	Prounov
390	Prounov
391	Prounov
392	Koul
393	Sresk
394	Ryzkland
395	Prounov
396	Koul
397	Koul
398	Kouvnic
399	Kannvic
400	Prounov
401	Koul
402	Kannvic
403	Kouvnic
404	Prounov
405	Otello
406	Prounov
407	Solank
408	Prounov
409	Koul
410	Prounov
411	Solank
412	Transpasko
413	Transpasko
414	Koul
415	Pasko
416	Koul
417	Koul
418	Kouvnic
419	Kannvic
420	Prounov
421	Solvenz
422	Kouvnic
423	Kouvnic
424	Koul
425	Koul
426	Pasko
427	Tulamuk
428	Pasko
429	Koul
430	Koul
431	Solank
432	Otello
433	Koul
434	Koul
435	Prounov
436	Kouvnic
437	Tulamuk
438	Kouvnic
439	Koul
440	Prounov
441	Kouvnic
442	Kannvic
443	Solvenz
444	Koul
445	Prounov
446	Prounov
447	Prounov
448	Koul
449	Koul
450	Kannvic
451	Prounov
452	Otello
453	Prounov
454	Koul
455	Koul
456	Sresk
457	Kannvic
458	Prounov
459	Prounov
460	Prounov
461	Kouvnic
462	Prounov
463	Kannvic
464	Prounov
465	Koul
466	Transpasko
467	Koul
468	Prounov
469	Prounov
470	Koul
471	Otello
472	Koul
473	Pasko
474	Prounov
475	Prounov
476	Koul
477	Prounov
478	Pasko
479	Prounov
480	Koul
481	Koul
482	Koul
483	Sresk
484	Koul
485	Kouvnic
486	Sresk
487	Solank
488	Solvenz
489	Koul
490	Koul
491	Koul
492	Kouvnic
493	Prounov
494	Solvenz
495	Koul
496	Prounov
497	Kouvnic
498	Prounov
499	Prounov
500	Kouvnic
501	Prounov
502	Prounov
503	Kannvic
504	Prounov
505	Prounov
506	Prounov
507	Sresk
508	Prounov
509	Solvenz
510	Pasko
511	Kouvnic
512	Tulamuk
513	Koul
514	Ryzkland
515	Prounov
516	Koul
517	Koul
518	Prounov
519	Koul
520	Koul
521	Kouvnic
522	Prounov
523	Sresk
524	Koul
525	Koul
526	Koul
527	Kouvnic
528	Koul
529	Otello
530	Koul
531	Prounov
532	Kouvnic
533	Prounov
534	Koul
535	Tulamuk
536	Kouvnic
537	Koul
538	Koul
539	Koul
540	Koul
541	Prounov
542	Solvenz
543	Koul
544	Prounov
545	Koul
546	Prounov
547	Kannvic
548	Prounov
549	Kannvic
550	Koul
551	Otello
552	Kouvnic
553	Koul
554	Prounov
555	Solvenz
556	Koul
557	Sresk
558	Koul
559	Solank
560	Tulamuk
561	Koul
562	Koul
563	Prounov
564	Prounov
565	Kouvnic
566	Kannvic
567	Prounov
568	Koul
569	Prounov
570	Solank
571	Sresk
572	Koul
573	Prounov
574	Prounov
575	Pasko
576	Prounov
577	Kouvnic
578	Koul
579	Solvenz
580	Koul
581	Koul
582	Koul
583	Koul
584	Prounov
585	Transpasko
586	Kouvnic
587	Kouvnic
588	Koul
589	Tulamuk
590	Prounov
591	Prounov
592	Ryzkland
593	Solvenz
594	Koul
595	Koul
596	Prounov
597	Kouvnic
598	Koul
599	Koul
600	Koul
601	Kannvic
602	Koul
603	Sresk
604	Koul
605	Ryzkland
606	Pasko
607	Prounov
608	Kouvnic
609	Prounov
610	Koul
611	Kouvnic
612	Prounov
613	Kouvnic
614	Koul
615	Kannvic
616	Prounov
617	Prounov
618	Prounov
619	Prounov
620	Pasko
621	Solvenz
622	Pasko
623	Koul
624	Prounov
625	Prounov
626	Transpasko
627	Koul
628	Pasko
629	Otello
630	Pasko
631	Kouvnic
632	Prounov
633	Koul
634	Prounov
635	Koul
636	Prounov
637	Sresk
638	Transpasko
639	Prounov
640	Ryzkland
641	Koul
642	Koul
643	Prounov
644	Koul
645	Prounov
646	Prounov
647	Koul
648	Kouvnic
649	Prounov
650	Ryzkland
651	Sresk
652	Transpasko
653	Sresk
654	Koul
655	Koul
656	Koul
657	Solvenz
658	Koul
659	Kouvnic
660	Prounov
661	Solank
662	Koul
663	Prounov
664	Koul
665	Kannvic
666	Kannvic
667	Prounov
668	Prounov
669	Tulamuk
670	Kannvic
671	Koul
672	Kannvic
673	Prounov
674	Koul
675	Prounov
676	Kouvnic
677	Kouvnic
678	Koul
679	Tulamuk
680	Solvenz
681	Kouvnic
682	Prounov
683	Kannvic
684	Prounov
685	Prounov
686	Koul
687	Prounov
688	Prounov
689	Prounov
690	Koul
691	Sresk
692	Prounov
693	Koul
694	Solank
695	Prounov
696	Koul
697	Koul
698	Prounov
699	Koul
700	Kouvnic
701	Koul
702	Kouvnic
703	Prounov
704	Kannvic
705	Kannvic
706	Sresk
707	Koul
708	Koul
709	Koul
710	Prounov
711	Koul
712	Solvenz
713	Koul
714	Sresk
715	Koul
716	Otello
717	Koul
718	Prounov
719	Koul
720	Prounov
721	Transpasko
722	Ryzkland
723	Sresk
724	Koul
725	Koul
726	Koul
727	Kouvnic
728	Transpasko
729	Kouvnic
730	Prounov
731	Koul
732	Kouvnic
733	Koul
734	Prounov
735	Ryzkland
736	Solvenz
737	Prounov
738	Solvenz
739	Solvenz
740	Prounov
741	Kouvnic
742	Tulamuk
743	Prounov
744	Otello
745	Kannvic
746	Kannvic
747	Koul
748	Otello
749	Koul
750	Kouvnic
751	Prounov
752	Prounov
753	Kouvnic
754	Koul
755	Kannvic
756	Prounov
757	Prounov
758	Koul
759	Koul
760	Koul
761	Prounov
762	Prounov
763	Pasko
764	Ryzkland
765	Koul
766	Kouvnic
767	Koul
768	Solank
769	Koul
770	Kannvic
771	Prounov
772	Koul
773	Prounov
774	Koul
775	Koul
776	Koul
777	Prounov
778	Kouvnic
779	Koul
780	Prounov
781	Prounov
782	Kouvnic
783	Koul
784	Prounov
785	Kouvnic
786	Prounov
787	Prounov
788	Koul
789	Kouvnic
790	Koul
791	Kouvnic
792	Koul
793	Prounov
794	Tulamuk
795	Sresk
796	Prounov
797	Prounov
798	Koul
799	Kouvnic
800	Koul
801	Prounov
802	Prounov
803	Kouvnic
804	Prounov
805	Koul
806	Prounov
807	Koul
808	Pasko
809	Koul
810	Prounov
811	Koul
812	Prounov
813	Otello
814	Koul
815	Pasko
816	Otello
817	Prounov
818	Prounov
819	Kannvic
820	Kouvnic
821	Koul
822	Koul
823	Kouvnic
824	Kouvnic
825	Kannvic
826	Prounov
827	Koul
828	Prounov
829	Solvenz
830	Koul
831	Koul
832	Sresk
833	Koul
834	Solvenz
835	Koul
836	Koul
837	Kouvnic
838	Kouvnic
839	Prounov
840	Prounov
841	Prounov
842	Koul
843	Koul
844	Transpasko
845	Tulamuk
846	Prounov
847	Solank
848	Kannvic
849	Kannvic
850	Prounov
851	Koul
852	Prounov
853	Prounov
854	Ryzkland
855	Koul
856	Koul
857	Kannvic
858	Transpasko
859	Prounov
860	Ryzkland
861	Kouvnic
862	Prounov
863	Koul
864	Prounov
865	Otello
866	Kannvic
867	Koul
868	Prounov
869	Prounov
870	Prounov
871	Prounov
872	Prounov
873	Koul
874	Prounov
875	Kannvic
876	Koul
877	Prounov
878	Koul
879	Koul
880	Koul
881	Koul
882	Koul
883	Kouvnic
884	Koul
885	Prounov
886	Prounov
887	Koul
888	Koul
889	Prounov
890	Koul
891	Kannvic
892	Transpasko
893	Koul
894	Otello
895	Solvenz
896	Koul
897	Kannvic
898	Solank
899	Solank
900	Solvenz
901	Koul
902	Prounov
903	Kannvic
904	Prounov
905	Koul
906	Kannvic
907	Koul
908	Kouvnic
909	Prounov
910	Prounov
911	Tulamuk
912	Prounov
913	Kouvnic
914	Koul
915	Otello
916	Kouvnic
917	Koul
918	Koul
919	Prounov
920	Koul
921	Pasko
922	Otello
923	Koul
924	Prounov
925	Tulamuk
926	Kouvnic
927	Koul
928	Kouvnic
929	Prounov
930	Koul
931	Koul
932	Kouvnic
933	Koul
934	Prounov
935	Prounov
936	Ryzkland
937	Kouvnic
938	Prounov
939	Koul
940	Koul
941	Kannvic
942	Koul
943	Koul
944	Koul
945	Kannvic
946	Prounov
947	Prounov
948	Koul
949	Koul
950	Kouvnic
951	Koul
952	Transpasko
953	Kannvic
954	Kouvnic
955	Prounov
956	Prounov
957	Koul
958	Prounov
959	Koul
960	Prounov
961	Prounov
962	Koul
963	Prounov
964	Prounov
965	Koul
966	Prounov
967	Solvenz
968	Kannvic
969	Prounov
970	Kannvic
971	Kouvnic
972	Prounov
973	Sresk
974	Koul
975	Kannvic
976	Sresk
977	Sresk
978	Koul
979	Ryzkland
980	Prounov
981	Prounov
982	Prounov
983	Koul
984	Prounov
985	Prounov
986	Prounov
987	Prounov
988	Solvenz
989	Koul
990	Koul
991	Koul
992	Pasko
993	Koul
994	Kouvnic
995	Kannvic
996	Koul
997	Koul
998	Koul
999	Tulamuk
1000	Solank
1001	Prounov
1002	Koul
1003	Koul
1004	Prounov
1005	Prounov
1006	Prounov
1007	Koul
1008	Koul
1009	Koul
1010	Sresk
1011	Koul
1012	Kannvic
1013	Prounov
1014	Prounov
1015	Prounov
1016	Koul
1017	Prounov
1018	Koul
1019	Koul
1020	Koul
1021	Prounov
1022	Kouvnic
1023	Prounov
1024	Koul
1025	Koul
1026	Prounov
1027	Koul
1028	Prounov
1029	Solank
1030	Prounov
1031	Prounov
1032	Koul
1033	Koul
1034	Koul
1035	Koul
1036	Otello
1037	Koul
1038	Koul
1039	Solank
1040	Otello
1041	Prounov
1042	Koul
1043	Prounov
1044	Kouvnic
1045	Ryzkland
1046	Prounov
1047	Kannvic
1048	Koul
1049	Prounov
1050	Koul
1051	Kouvnic
1052	Koul
1053	Koul
1054	Prounov
1055	Koul
1056	Kouvnic
1057	Prounov
1058	Koul
1059	Prounov
1060	Koul
1061	Otello
1062	Prounov
1063	Koul
1064	Kouvnic
1065	Kannvic
1066	Koul
1067	Tulamuk
1068	Koul
1069	Pasko
1070	Koul
1071	Kouvnic
1072	Solank
1073	Pasko
1074	Prounov
1075	Koul
1076	Prounov
1077	Prounov
1078	Kannvic
1079	Solank
1080	Prounov
1081	Tulamuk
1082	Kouvnic
1083	Koul
1084	Prounov
1085	Kouvnic
1086	Kouvnic
1087	Koul
1088	Ryzkland
1089	Koul
1090	Kouvnic
1091	Kouvnic
1092	Otello
1093	Sresk
1094	Koul
1095	Koul
1096	Prounov
1097	Koul
1098	Prounov
1099	Koul
1100	Prounov
1101	Kouvnic
1102	Otello
1103	Sresk
1104	Koul
1105	Koul
1106	Prounov
1107	Koul
1108	Prounov
1109	Prounov
1110	Koul
1111	Transpasko
1112	Prounov
1113	Koul
1114	Kannvic
1115	Kouvnic
1116	Kouvnic
1117	Prounov
1118	Koul
1119	Kouvnic
1120	Solank
1121	Pasko
1122	Koul
1123	Solvenz
1124	Prounov
1125	Koul
1126	Koul
1127	Kannvic
1128	Solank
1129	Pasko
1130	Ryzkland
1131	Koul
1132	Koul
1133	Prounov
1134	Prounov
1135	Koul
1136	Prounov
1137	Koul
1138	Koul
1139	Prounov
1140	Koul
1141	Prounov
1142	Kouvnic
1143	Kouvnic
1144	Koul
1145	Prounov
1146	Prounov
1147	Koul
1148	Koul
1149	Prounov
1150	Kannvic
1151	Prounov
1152	Sresk
1153	Prounov
1154	Koul
1155	Prounov
1156	Kouvnic
1157	Otello
1158	Prounov
1159	Prounov
1160	Prounov
1161	Prounov
1162	Koul
1163	Ryzkland
1164	Koul
1165	Prounov
1166	Koul
1167	Koul
1168	Kouvnic
1169	Koul
1170	Koul
1171	Prounov
1172	Prounov
1173	Prounov
1174	Prounov
1175	Prounov
1176	Prounov
1177	Prounov
1178	Kannvic
1179	Kannvic
1180	Koul
1181	Koul
1182	Prounov
1183	Koul
1184	Koul
1185	Ryzkland
1186	Prounov
1187	Prounov
1188	Kouvnic
1189	Prounov
1190	Prounov
1191	Kouvnic
1192	Koul
1193	Kouvnic
1194	Kouvnic
1195	Koul
1196	Koul
1197	Prounov
1198	Koul
1199	Sresk
1200	Koul
1201	Prounov
1202	Prounov
1203	Koul
1204	Koul
1205	Kouvnic
1206	Koul
1207	Kouvnic
1208	Solank
1209	Ryzkland
1210	Kannvic
1211	Kouvnic
1212	Koul
1213	Koul
1214	Kannvic
1215	Koul
1216	Koul
1217	Prounov
1218	Prounov
1219	Solvenz
1220	Koul
1221	Koul
1222	Koul
1223	Koul
1224	Koul
1225	Kouvnic
1226	Koul
1227	Pasko
1228	Koul
1229	Prounov
1230	Solvenz
1231	Kouvnic
1232	Prounov
1233	Sresk
1234	Transpasko
1235	Ryzkland
1236	Koul
1237	Prounov
1238	Koul
1239	Prounov
1240	Pasko
1241	Koul
1242	Prounov
1243	Kouvnic
1244	Kannvic
1245	Kouvnic
1246	Koul
1247	Sresk
1248	Otello
1249	Koul
1250	Koul
1251	Solank
1252	Prounov
1253	Koul
1254	Koul
1255	Koul
1256	Prounov
1257	Koul
1258	Solank
1259	Ryzkland
1260	Prounov
1261	Koul
1262	Kouvnic
1263	Koul
1264	Koul
1265	Prounov
1266	Kannvic
1267	Prounov
1268	Koul
1269	Otello
1270	Koul
1271	Kouvnic
1272	Koul
1273	Koul
1274	Otello
1275	Kannvic
1276	Solvenz
1277	Prounov
1278	Tulamuk
1279	Kouvnic
1280	Kouvnic
1281	Prounov
1282	Koul
1283	Kouvnic
1284	Kannvic
1285	Kouvnic
1286	Koul
1287	Prounov
1288	Kouvnic
1289	Kannvic
1290	Prounov
1291	Koul
1292	Prounov
1293	Ryzkland
1294	Prounov
1295	Koul
1296	Prounov
1297	Koul
1298	Prounov
1299	Kouvnic
1300	Koul
1301	Prounov
1302	Prounov
1303	Koul
1304	Otello
1305	Prounov
1306	Koul
1307	Koul
1308	Prounov
1309	Solvenz
1310	Tulamuk
1311	Koul
1312	Ryzkland
1313	Prounov
1314	Prounov
1315	Pasko
1316	Koul
1317	Pasko
1318	Koul
1319	Kouvnic
1320	Prounov
1321	Koul
1322	Kannvic
1323	Koul
1324	Kouvnic
1325	Koul
1326	Prounov
1327	Koul
1328	Koul
1329	Koul
1330	Prounov
1331	Prounov
1332	Prounov
1333	Solvenz
1334	Prounov
1335	Tulamuk
1336	Transpasko
1337	Koul
1338	Kouvnic
1339	Prounov
1340	Koul
1341	Prounov
1342	Kouvnic
1343	Prounov
1344	Transpasko
1345	Prounov
1346	Prounov
1347	Prounov
1348	Koul
1349	Prounov
1350	Koul
1351	Koul
1352	Prounov
1353	Prounov
1354	Kouvnic
1355	Kouvnic
1356	Ryzkland
1357	Kouvnic
1358	Koul
1359	Transpasko
1360	Koul
1361	Prounov
1362	Kouvnic
1363	Koul
1364	Solvenz
1365	Pasko
1366	Koul
1367	Koul
1368	Ryzkland
1369	Ryzkland
1370	Koul
1371	Koul
1372	Prounov
1373	Kouvnic
1374	Kannvic
1375	Prounov
1376	Ryzkland
1377	Kannvic
1378	Koul
1379	Koul
1380	Prounov
1381	Kouvnic
1382	Prounov
1383	Koul
1384	Prounov
1385	Prounov
1386	Solvenz
1387	Kouvnic
1388	Solvenz
1389	Koul
1390	Kouvnic
1391	Kouvnic
1392	Kouvnic
1393	Koul
1394	Ryzkland
1395	Koul
1396	Pasko
1397	Prounov
1398	Koul
1399	Transpasko
1400	Kouvnic
1401	Koul
1402	Kouvnic
1403	Prounov
1404	Prounov
1405	Koul
1406	Prounov
1407	Prounov
1408	Koul
1409	Kouvnic
1410	Solank
1411	Kouvnic
1412	Solvenz
1413	Prounov
1414	Prounov
1415	Sresk
1416	Prounov
1417	Kouvnic
1418	Koul
1419	Prounov
1420	Koul
1421	Prounov
1422	Prounov
1423	Prounov
1424	Prounov
1425	Sresk
1426	Kannvic
1427	Kouvnic
1428	Koul
1429	Koul
1430	Koul
1431	Solvenz
1432	Tulamuk
1433	Sresk
1434	Prounov
1435	Prounov
1436	Kouvnic
1437	Prounov
1438	Koul
1439	Prounov
1440	Sresk
1441	Prounov
1442	Prounov
1443	Otello
1444	Kouvnic
1445	Koul
1446	Prounov
1447	Koul
1448	Prounov
1449	Transpasko
1450	Otello
1451	Kouvnic
1452	Solank
1453	Tulamuk
1454	Prounov
1455	Kouvnic
1456	Kouvnic
1457	Prounov
1458	Koul
1459	Tulamuk
1460	Kouvnic
1461	Kouvnic
1462	Prounov
1463	Prounov
1464	Prounov
1465	Koul
1466	Sresk
1467	Prounov
1468	Kouvnic
1469	Kouvnic
1470	Kouvnic
1471	Kouvnic
1472	Prounov
1473	Koul
1474	Prounov
1475	Koul
1476	Prounov
1477	Kouvnic
1478	Kouvnic
1479	Prounov
1480	Koul
1481	Prounov
1482	Koul
1483	Prounov
1484	Koul
1485	Koul
1486	Prounov
1487	Prounov
1488	Koul
1489	Solank
1490	Koul
1491	Kannvic
1492	Koul
1493	Koul
1494	Sresk
1495	Prounov
1496	Koul
1497	Koul
1498	Koul
1499	Pasko
1500	Koul
1501	Koul
1502	Prounov
1503	Solvenz
1504	Tulamuk
1505	Koul
1506	Kouvnic
1507	Koul
1508	Prounov
1509	Kouvnic
1510	Koul
1511	Solvenz
1512	Koul
1513	Solvenz
1514	Koul
1515	Solank
1516	Prounov
1517	Kouvnic
1518	Prounov
1519	Kouvnic
1520	Koul
1521	Prounov
1522	Koul
1523	Solank
1524	Prounov
1525	Transpasko
1526	Koul
1527	Koul
1528	Prounov
1529	Kouvnic
1530	Prounov
1531	Prounov
1532	Koul
1533	Otello
1534	Koul
1535	Prounov
1536	Prounov
1537	Kouvnic
1538	Koul
1539	Koul
1540	Koul
1541	Koul
1542	Koul
1543	Kannvic
1544	Koul
1545	Koul
1546	Koul
1547	Kouvnic
1548	Koul
1549	Prounov
1550	Sresk
1551	Prounov
1552	Prounov
1553	Koul
1554	Solank
1555	Transpasko
1556	Koul
1557	Prounov
1558	Prounov
1559	Tulamuk
1560	Transpasko
1561	Koul
1562	Prounov
1563	Koul
1564	Koul
1565	Transpasko
1566	Koul
1567	Koul
1568	Sresk
1569	Kannvic
1570	Koul
1571	Pasko
1572	Kannvic
1573	Kouvnic
1574	Solvenz
1575	Koul
1576	Prounov
1577	Kouvnic
1578	Koul
1579	Kouvnic
1580	Koul
1581	Transpasko
1582	Koul
1583	Koul
1584	Koul
1585	Koul
1586	Koul
1587	Koul
1588	Kannvic
1589	Koul
1590	Koul
1591	Kouvnic
1592	Kouvnic
1593	Kouvnic
1594	Koul
1595	Kouvnic
1596	Koul
1597	Koul
1598	Solvenz
1599	Solank
1600	Pasko
1601	Kouvnic
1602	Koul
1603	Kouvnic
1604	Koul
1605	Prounov
1606	Kannvic
1607	Pasko
1608	Kannvic
1609	Tulamuk
1610	Solvenz
1611	Prounov
1612	Prounov
1613	Koul
1614	Koul
1615	Prounov
1616	Solvenz
1617	Kouvnic
1618	Prounov
1619	Prounov
1620	Prounov
1621	Solank
1622	Koul
1623	Prounov
1624	Prounov
1625	Prounov
1626	Kouvnic
1627	Prounov
1628	Solvenz
1629	Kouvnic
1630	Otello
1631	Prounov
1632	Prounov
1633	Koul
1634	Koul
1635	Kouvnic
1636	Koul
1637	Kannvic
1638	Kouvnic
1639	Solvenz
1640	Koul
1641	Kouvnic
1642	Prounov
1643	Kouvnic
1644	Prounov
1645	Koul
1646	Prounov
1647	Prounov
1648	Koul
1649	Prounov
1650	Ryzkland
1651	Prounov
1652	Solvenz
1653	Koul
1654	Koul
1655	Kouvnic
1656	Kouvnic
1657	Pasko
1658	Prounov
1659	Kouvnic
1660	Prounov
1661	Prounov
1662	Koul
1663	Pasko
1664	Prounov
1665	Koul
1666	Koul
1667	Transpasko
1668	Pasko
1669	Koul
1670	Prounov
1671	Kouvnic
1672	Koul
1673	Prounov
1674	Koul
1675	Koul
1676	Kannvic
1677	Koul
1678	Kouvnic
1679	Koul
1680	Kannvic
1681	Prounov
1682	Prounov
1683	Solvenz
1684	Kannvic
1685	Prounov
1686	Koul
1687	Kannvic
1688	Koul
1689	Prounov
1690	Prounov
1691	Tulamuk
1692	Koul
1693	Prounov
1694	Koul
1695	Kouvnic
1696	Koul
1697	Koul
1698	Prounov
1699	Transpasko
1700	Kannvic
1701	Transpasko
1702	Koul
1703	Prounov
1704	Koul
1705	Koul
1706	Otello
1707	Koul
1708	Prounov
1709	Koul
1710	Prounov
1711	Prounov
1712	Prounov
1713	Tulamuk
1714	Prounov
1715	Koul
1716	Otello
1717	Kouvnic
1718	Koul
1719	Prounov
1720	Ryzkland
1721	Kannvic
1722	Prounov
1723	Koul
1724	Kouvnic
1725	Koul
1726	Solank
1727	Sresk
1728	Koul
1729	Kouvnic
1730	Prounov
1731	Koul
1732	Koul
1733	Tulamuk
1734	Solank
1735	Koul
1736	Kouvnic
1737	Ryzkland
1738	Kannvic
1739	Koul
1740	Koul
1741	Koul
1742	Kannvic
1743	Tulamuk
1744	Kouvnic
1745	Kouvnic
1746	Koul
1747	Koul
1748	Prounov
1749	Sresk
1750	Ryzkland
1751	Kannvic
1752	Kouvnic
1753	Prounov
1754	Prounov
1755	Kouvnic
1756	Prounov
1757	Prounov
1758	Kouvnic
1759	Kouvnic
1760	Prounov
1761	Transpasko
1762	Prounov
1763	Prounov
1764	Koul
1765	Koul
1766	Koul
1767	Prounov
1768	Koul
1769	Prounov
1770	Prounov
1771	Prounov
1772	Prounov
1773	Prounov
1774	Prounov
1775	Solvenz
1776	Prounov
1777	Sresk
1778	Prounov
1779	Koul
1780	Koul
1781	Prounov
1782	Transpasko
1783	Koul
1784	Pasko
1785	Prounov
1786	Prounov
1787	Koul
1788	Koul
1789	Kouvnic
1790	Sresk
1791	Prounov
1792	Koul
1793	Prounov
1794	Kouvnic
1795	Prounov
1796	Prounov
1797	Solank
1798	Ryzkland
1799	Prounov
1800	Prounov
1801	Koul
1802	Koul
1803	Prounov
1804	Prounov
1805	Kouvnic
1806	Kannvic
1807	Koul
1808	Prounov
1809	Solvenz
1810	Sresk
1811	Sresk
1812	Prounov
1813	Prounov
1814	Prounov
1815	Kouvnic
1816	Koul
1817	Solvenz
1818	Koul
1819	Prounov
1820	Koul
1821	Koul
1822	Koul
1823	Prounov
1824	Solank
1825	Prounov
1826	Prounov
1827	Koul
1828	Pasko
1829	Prounov
1830	Ryzkland
1831	Koul
1832	Koul
1833	Prounov
1834	Koul
1835	Solvenz
1836	Koul
1837	Kannvic
1838	Kouvnic
1839	Koul
1840	Prounov
1841	Prounov
1842	Solvenz
1843	Prounov
1844	Koul
1845	Prounov
1846	Prounov
1847	Pasko
1848	Koul
1849	Pasko
1850	Kannvic
1851	Koul
1852	Koul
1853	Transpasko
1854	Koul
1855	Koul
1856	Prounov
1857	Kouvnic
1858	Pasko
1859	Prounov
1860	Koul
